Parametr,Wartość,Najlepszy R^2,Średni R^2,Najlepszy Loss,Średni Loss,Najlepsze MAE,Średnie MAE,Najlepsze MAPE,Średnie MAPE
Warstwy,1,0.23662446459116993,0.2286357096509939,2093.13134765625,2099.8865966796875,35.648895263671875,36.03611602783203,44.512054443359375,44.113834381103516
Warstwy,2,0.5283597314090975,0.4783471917430065,1253.1988525390625,1415.77880859375,27.352062225341797,28.49443817138672,36.666744232177734,39.85420455932617
Warstwy,3,0.7155598475270657,0.7100911839106148,777.953857421875,786.4966674804688,21.543235778808594,21.6401798248291,20.884597778320312,20.846992111206056
Warstwy,4,0.7560716359793838,0.7385844964376423,666.740966796875,702.1505981445313,19.88762092590332,20.400484466552733,18.42317771911621,19.465251922607422
